# Description of IPAC file format: http://exoplanetarchive.ipac.caltech.edu/docs/ddgen/ipac_tbl.html
# Astropy Python tool to read IPAC format: http://docs.astropy.org/en/stable/api/astropy.io.ascii.Ipac.html
# IDL tool to read IPAC format: https://irsa.ipac.caltech.edu/tools/pro/read_ipac_table.pro
# The accompanying documentation for this file is: KSCI-19114
# Column Definitions
# TCE_ID
# The Threshold Crossing Event (TCE) identifier, consisting of the Kepler Input Catalog (KIC) ID, followed by a dash, and then the planet number
# KIC
# The KIC ID of the TCE.
# Disp
# The Robovetter Disposition Value (PC or FP)
# Score
# The Robovetter Disposition Score
# NTL
# The Robovetter Not Transit-Like Flag
# SS
# The Robovetter Stellar Eclipse Flag
# CO
# The Robovetter Centroid Offset Flag
# EM
# The Robovetter Ephemeris Match Flag
# period
# The period of the TCE in days from DV
# epoch
# The epoch of the TCE in Barycentric Kepler Julian Date (BKJD)
# Expected_MES
# The expected value for the Multiple Event Statistic (MES) based on the injection parameters. (Note this value only exists for INJ1, INJ2, and INJ3, and is "null" for OBS, INV, and SCR1.)
# MES
# The Multiple Event Statistic (MES) of the TCE
# NTran
# The number of transits identified by TPS with SES != 0 (i.e., those used in calculating the MES.)
# depth
# The depth of the TCE in parts per million (ppm)
# duration
# The duration of the TCE in hours (hrs)
# Rp
# The modeled radius of the planet in units of Earth radii (R_earth)
# Rs
# The assumed size of the target star in solar radii (R_sun)
# Ts
# The assumed temperatue of the target star in Kelvin (K)
# logg
# The assumed surface gravity of the star in cm/s**2 (cgs)
# a
# The modeled semi-major axis of the orbit in Astronomical Units (AU)
# Rp/Rs
# The modeled ratio of the planet radius to stellar radius
# a/Rs
# The modeled ratio of the semi-major axis to the stellar radius
# impact
# The modeled impact parameter
# SNR_DV
# The modeled Signal-to-Noise Ratio (SNR) of the signal
# Sp
# The modeled insolation flux of the planet in units of Earth's insolation flux (S_earth)
# Fit_Prov
# A flag indicating if the fit information comes from supplemental fits (1) or original fits (0)
TCE_ID KIC Disp Score NTL SS CO EM period epoch Expected_MES MES NTran depth duration Rp Rs Ts logg a Rp/Rs a/Rs impact SNR_DV Sp Fit_Prov skygroup
001433399-01 1433399 FP 0.0 1 0 0 0 1.30080154 132.20587556 "" 7.9137 1011 39.1 5.2166 1.145 1.815 6865 4.076 0.02629 0.005783 2.0 0.1 8.2 9487.332 1 84
001433399-02 1433399 FP 0.0 1 0 0 0 29.49751555 147.67971788 "" 14.5519 4 86.3 6.0922 1.894 1.815 6865 4.076 0.21061 0.009562 20.62 0.8421 2.6 147.79 1 84
001433399-03 1433399 FP 0.0 1 0 0 0 45.61722199 164.00318595 "" 11.3586 5 75.4 10.4765 1.59 1.815 6865 4.076 0.28163 0.00803 33.45 0.0708 1.9 82.651 1 84
001433399-04 1433399 FP 0.0 1 0 0 0 31.55590238 140.27387048 "" 13.2136 3 38.2 2.0542 1.134 1.815 6865 4.076 0.22032 0.005725 118.02 0.0239 1.2 135.046 1 84
001433399-05 1433399 FP 0.0 1 0 0 0 50.22286219 152.82413496 "" 10.5496 3 103.9 3.6216 2.133 1.815 6865 4.076 0.30031 0.010768 51.32 0.8872 2.8 72.689 1 84
001433399-06 1433399 FP 0.0 1 0 0 0 16.67446845 144.47706787 "" 10.8043 4 32.6 1.2163 1.051 1.815 6865 4.076 0.14398 0.005309 104.8 0.096 1.4 316.207 1 84
001433399-07 1433399 FP 0.0 1 0 0 0 27.22127316 153.65891099 "" 9.2911 3 119.0 22.2275 2.026 1.815 6865 4.076 0.19965 0.010231 8.77 0.3841 3.6 164.461 1 84
001433399-08 1433399 FP 0.0 1 0 0 0 17.8920042 144.85414496 "" 8.6154 8 69.2 5.18 1.755 1.815 6865 4.076 0.15091 0.00886 12.11 0.8992 2.8 287.858 1 84
001433962-01 1433962 FP 0.0 1 0 0 0 1.592261 131.91676923 "" 10.8144 823 133.7 4.3388 0.755 0.651 4506 4.626 0.02316 0.010623 2.57 0.4994 11.3 291.806 1 84
001433962-02 1433962 FP 0.0 1 0 0 0 1.59204575 132.24014812 "" 10.2928 186 150.1 4.7114 0.777 0.651 4506 4.626 0.02316 0.010939 2.55 0.3269 10.8 291.853 1 84
001433962-03 1433962 FP 0.0 1 0 0 0 276.44765666 172.43844003 "" 19.0346 3 390.5 2.0871 1.279 0.651 4506 4.626 0.72066 0.01801 928.45 0.4404 2.0 0.301 1 84
001433962-04 1433962 FP 0.0 1 0 0 0 76.74349949 159.75946675 "" 9.6215 7 196.4 16.6654 0.911 0.651 4506 4.626 0.30676 0.012821 31.33 0.4828 2.6 1.663 1 84
001433980-01 1433980 FP 0.0 1 0 0 0 0.7963511 132.21327704 "" 2624.98 546 71175.9 3.0 47.688 1.768 6574 4.061 0.01841 0.247179 2.63 0.1 -1.0 15431.04 0 84
001434013-01 1434013 PC 0.345 0 0 0 0 438.96126192 484.59289958 "" 7.2131 3 1236.1 13.1377 15.483 4.388 5196 3.355 1.31967 0.032334 239.08 0.4339 6.0 7.221 1 84
001434660-01 1434660 FP 0.0 1 0 0 0 1.35956498 132.40860742 "" 11.4979 976 34.7 3.5469 1.595 2.657 7526 3.878 0.02998 0.0055 2.92 0.2454 10.7 22569.751 1 84
001434660-02 1434660 FP 0.0 1 0 0 0 1.35959143 131.55009264 "" 11.4931 965 36.3 3.0862 1.624 2.657 7526 3.878 0.02998 0.005602 3.43 0.0227 11.8 22569.85 1 84
001434800-01 1434800 FP 0.0 1 0 0 0 1.49840468 131.77566352 "" 7.8837 877 37.7 4.7353 1.032 1.643 6814 4.128 0.02813 0.005753 2.36 0.3692 8.2 6587.969 1 84
001434800-02 1434800 FP 0.0 1 0 0 0 475.19705691 137.76973803 "" 10.435 3 873.9 12.8355 5.441 1.643 6814 4.128 1.30842 0.030349 170.27 0.8362 11.8 3.046 1 84
001434800-03 1434800 FP 0.0 1 0 0 0 228.23647619 151.33364219 "" 7.2159 4 566.2 3.1632 3.951 1.643 6814 4.128 0.80237 0.022037 558.88 0.1286 7.5 8.099 1 84
001435448-01 1435448 FP 0.0 1 0 0 0 439.81258411 180.52034585 "" 9.9125 3 1109.7 4.7093 4.88 1.425 6047 4.173 1.16962 0.031382 639.19 0.5108 8.5 1.778 1 84
001570349-01 1570349 FP 0.0 1 0 0 0 0.58152509 131.72484806 "" 10.1344 2268 24.7 1.9525 0.594 1.197 5883 4.293 0.01375 0.004548 2.32 0.2085 6.8 8130.181 1 84
